tenant_id,full_name,email,phone,city,property_type,preferred_language,tenant_age,lease_start_date,lease_end_date,lease_duration_months,days_to_expiry,years_at_property,monthly_rent,rent_increase_pct,market_rent_ratio,nearby_vacancy_rate,late_payments,missed_payments,avg_days_late,payment_consistency,maintenance_requests,unresolved_issues,avg_resolution_days,engagement_score,satisfaction_score,complaints_filed,response_rate,portal_logins_last_30d,communication_score,sentiment_score,will_not_renew
T01277,Raunak Bhakta,gyohannan@example.org,3629977856,Bangalore,3BHK,Kannada,64,2021-11-10,2023-10-31,24,-244,2.6,56910,14.3,1.003,0.058,7,7,21.5,0.364,2,0,5.9,0.262,6.1,6,0.607,0,0.787,-0.691,1
T01278,Rasha Kala,ahana-35@example.com,9308598986,Hyderabad,Villa,Tamil,63,2021-02-07,2023-01-28,24,-520,3.4,70446,13.1,0.967,0.183,0,0,0.0,1.0,0,0,11.8,1.0,10.0,0,1.0,7,0.863,0.944,0
T01279,Reyansh Chand,mannat95@example.org,+919643912552,Bangalore,Villa,Hindi,52,2021-03-27,2021-09-23,6,-1012,3.3,76181,1.6,1.258,0.165,2,0,13.5,0.95,1,1,5.6,0.825,7.8,0,0.908,6,1.0,0.322,0
T01280,Yasmin Thaker,borrarhea@example.com,07733500477,Mumbai,3BHK,Hindi,51,2021-10-14,2022-10-09,12,-631,2.7,45428,11.3,1.344,0.026,4,0,6.0,0.882,1,0,7.4,0.911,8.8,1,0.979,7,0.985,0.879,0
T01281,Anay Rajan,wableuthkarsh@example.net,03495974319,Bangalore,2BHK,Hindi,54,2022-06-02,2023-05-28,12,-400,2.1,52471,12.8,1.041,0.142,4,0,9.0,0.846,1,0,12.3,0.862,7.4,0,0.85,6,0.874,0.167,0
T01282,Tushar Sabharwal,mahikawarrior@example.org,08992005512,Pune,Villa,Tamil,37,2021-01-17,2022-01-12,12,-901,3.5,75050,1.4,0.907,0.052,2,0,12.5,0.953,0,0,3.9,0.775,7.6,1,1.0,7,0.75,0.16,0
T01283,Stuvan Sarraf,hsule@example.net,+919323238731,Hyderabad,Villa,English,29,2021-07-17,2023-07-07,24,-360,3.0,75337,2.2,1.275,0.121,3,11,24.5,0.324,3,2,9.6,0.217,6.3,4,0.401,1,0.882,-0.116,1
T01284,Indranil Krishnan,ysha@example.net,0138162846,Mumbai,Studio,English,55,2022-10-05,2024-09-24,24,85,1.7,8965,10.1,1.308,0.154,1,0,6.0,0.955,1,0,13.8,0.853,10.0,0,1.0,7,1.0,1.0,0
T01285,Tiya Basu,satheela@example.com,+914194318923,Chennai,Studio,Tamil,34,2021-03-05,2021-09-01,6,-1034,3.3,40074,3.6,1.165,0.127,7,9,20.2,0.39,4,1,11.3,0.671,5.4,0,0.79,2,0.585,-0.367,0
T01286,Nitara Dave,raumehul@example.net,0287588337,Delhi,Studio,Telugu,50,2021-04-21,2022-04-16,12,-807,3.2,22938,11.2,0.917,0.133,10,13,21.3,0.077,6,3,9.3,0.006,4.3,5,0.6,2,0.658,-0.569,1
T01287,Akarsh Dalal,veer63@example.com,+911669575029,Pune,Studio,Telugu,57,2021-02-14,2022-02-09,12,-873,3.4,10142,1.4,1.277,0.06,5,4,13.9,0.69,2,2,4.5,0.348,7.0,2,0.835,7,0.942,0.453,0
T01288,Divij Sawhney,gkari@example.org,6854002539,Chennai,Commercial,Telugu,60,2021-11-01,2022-04-30,6,-793,2.7,26129,0.3,0.96,0.078,5,0,5.0,0.848,0,0,11.1,0.768,8.2,0,0.75,5,0.973,0.171,0
T01289,Diya Divan,bhatarhaan@example.com,8651647931,Mumbai,Commercial,English,28,2022-09-10,2023-03-09,6,-480,1.8,35624,10.7,0.747,0.098,11,0,10.6,0.522,2,1,14.9,1.0,6.2,2,0.718,7,0.821,-0.029,0
T01290,Yasmin Sane,baiju13@example.net,+912713113586,Pune,2BHK,Hindi,28,2021-03-07,2021-09-03,6,-1032,3.3,29077,6.4,1.273,0.095,5,10,20.1,0.39,2,0,9.5,0.412,6.0,0,0.608,8,0.946,0.475,1
T01291,Emir Bhargava,fshan@example.net,8543697182,Bangalore,2BHK,Telugu,35,2021-11-20,2022-11-15,12,-594,2.6,9787,7.2,1.241,0.028,3,2,15.6,0.781,1,0,15.2,0.886,8.9,1,1.0,4,0.69,0.401,0
T01292,Rasha Behl,gwarrior@example.org,03376601577,Hyderabad,Villa,Telugu,65,2021-07-29,2022-07-24,12,-708,2.9,21083,11.6,0.731,0.108,5,1,14.0,0.806,2,1,8.3,0.908,2.7,3,0.969,2,1.0,0.625,0
T01293,Shlok Jaggi,gokul72@example.com,05370430524,Kolkata,Studio,Telugu,45,2022-11-28,2023-11-23,12,-221,1.6,33594,8.9,0.761,0.097,2,0,9.5,0.9,3,1,5.1,1.0,8.2,0,0.991,3,1.0,0.077,0
T01294,Mannat Khosla,shamikkakar@example.org,6294305725,Pune,Apartment,Kannada,60,2021-11-05,2023-10-26,24,-249,2.7,11380,3.2,1.185,0.158,4,5,17.7,0.576,2,1,15.4,0.5,7.7,2,0.672,7,0.918,-0.021,1
T01295,Advika Mand,fshenoy@example.org,+919240085242,Kolkata,2BHK,Telugu,26,2021-02-26,2022-02-21,12,-861,3.3,20801,11.5,1.19,0.163,6,18,25.9,0.0,5,1,6.5,0.243,4.6,3,0.489,1,0.669,-1.0,1
T01296,Trisha Wali,rameshonkar@example.net,07492650580,Pune,3BHK,Tamil,49,2022-01-12,2024-01-02,24,-181,2.5,63653,4.7,0.79,0.032,2,14,25.6,0.032,5,0,11.0,0.231,4.3,1,0.524,0,0.687,-0.663,1
T01297,Gokul Kapoor,bdate@example.com,+918341911995,Bangalore,Commercial,Kannada,61,2022-03-12,2022-09-08,6,-662,2.3,32504,5.8,0.985,0.192,5,7,19.4,0.345,4,1,16.4,0.219,6.6,2,0.716,4,0.593,0.309,1
T01298,Manikya Mammen,katajivika@example.net,5341348522,Mumbai,Studio,Tamil,34,2021-09-06,2023-08-27,24,-309,2.8,17114,10.2,0.885,0.088,3,0,4.0,0.914,0,0,7.8,0.946,8.8,0,1.0,5,1.0,1.0,0
T01299,Aayush Ganesh,pahuja@example.net,09222454838,Pune,3BHK,Tamil,61,2022-05-10,2023-05-05,12,-423,2.1,77595,11.2,1.113,0.062,6,8,19.3,0.185,3,1,9.3,0.139,1.6,6,0.401,3,0.407,-0.405,1
T01300,Myra Anand,rajariya@example.net,+913332962489,Hyderabad,Apartment,Hindi,36,2023-04-23,2023-10-20,6,-255,1.2,69438,13.4,0.91,0.055,2,5,27.3,0.2,3,2,17.8,0.043,3.7,2,0.766,2,0.377,-0.561,1
T01301,Vardaniya Sharaf,nsehgal@example.com,07879066639,Pune,Apartment,Tamil,48,2023-03-13,2025-03-02,24,244,1.3,56124,0.1,1.014,0.079,2,5,25.4,0.25,2,2,7.0,0.0,4.5,1,0.552,2,0.565,-0.149,1
T01302,Eshani Ramakrishnan,krishnapriyansh@example.org,07143756872,Chennai,2BHK,Telugu,46,2021-04-11,2023-04-01,24,-457,3.2,76322,14.3,1.3,0.074,5,10,22.1,0.375,7,3,8.0,0.619,5.1,2,0.754,2,0.682,0.376,1
T01303,Reyansh Varkey,jayeshsura@example.net,7567498016,Hyderabad,Villa,English,60,2022-12-29,2023-06-27,6,-370,1.5,53623,14.4,0.79,0.054,2,0,6.5,0.895,2,1,2.6,0.287,9.2,3,0.934,5,1.0,0.816,0
T01304,Pari Lalla,amani91@example.org,1370314482,Pune,Villa,English,49,2022-07-08,2024-06-27,24,-4,2.0,20828,11.6,1.359,0.143,3,2,20.0,0.72,7,4,12.3,0.591,8.3,1,0.866,5,0.871,0.904,0
T01305,Samaira Chatterjee,rborra@example.org,4175302225,Pune,Villa,Kannada,36,2021-05-14,2022-05-09,12,-784,3.1,13956,4.5,0.736,0.037,1,0,13.0,0.974,0,0,12.7,0.867,9.8,0,1.0,5,1.0,0.764,0
T01306,Ahana  Rau,kotaahana@example.net,9629498522,Chennai,Commercial,Tamil,51,2021-03-03,2021-08-30,6,-1036,3.3,46881,1.0,0.736,0.183,4,10,19.8,0.415,0,0,14.0,0.341,6.7,2,0.741,4,0.878,-0.07,1
T01307,Divyansh Jha,nayantaraganesh@example.net,+917963386672,Delhi,3BHK,Tamil,54,2022-01-19,2024-01-09,24,-174,2.4,54307,11.4,0.707,0.029,5,13,25.6,0.0,6,2,10.6,0.285,4.1,5,0.717,0,0.487,-0.111,1
T01308,Hrishita Shere,samiadah@example.com,+919254269415,Kolkata,2BHK,Telugu,63,2021-03-13,2023-03-03,24,-486,3.3,13840,2.2,1.115,0.091,4,8,24.2,0.512,3,2,15.8,0.331,5.0,2,0.766,2,0.538,-0.271,1
T01309,Tarini Bal,pgopal@example.org,+917633968865,Chennai,Commercial,Tamil,29,2022-05-30,2022-11-26,6,-583,2.1,10337,3.4,0.828,0.146,0,0,0.0,1.0,1,0,8.0,0.895,9.6,0,0.792,6,0.909,0.517,0
T01310,Samarth Balakrishnan,tusharmadan@example.com,05426801692,Chennai,2BHK,Hindi,40,2022-06-27,2023-06-22,12,-375,2.0,49798,5.1,1.125,0.045,1,7,28.2,0.4,3,1,5.0,0.257,4.3,4,0.782,1,0.44,0.42,1
T01311,Suhana Shetty,vamble@example.org,09367746512,Mumbai,3BHK,Tamil,47,2021-08-24,2022-08-19,12,-682,2.9,35215,9.1,0.884,0.032,7,13,21.4,0.057,1,1,11.8,0.197,3.0,2,0.589,2,0.741,-0.876,1
T01312,Stuvan Khosla,vihaantandon@example.net,00257979833,Chennai,Commercial,Hindi,64,2022-10-24,2023-04-22,6,-436,1.7,11015,5.4,1.009,0.12,2,1,14.3,0.81,2,1,14.2,0.662,7.1,2,0.791,1,0.891,-0.204,1
T01313,Aarav Kurian,tiya40@example.net,8948308540,Delhi,Apartment,Hindi,52,2022-05-10,2024-04-29,24,-63,2.1,76743,13.9,1.111,0.2,2,0,1.5,0.926,2,0,8.7,1.0,7.3,0,0.859,10,0.96,0.293,0
T01314,Dhanuk Ramakrishnan,dvirk@example.com,+916408098107,Chennai,Villa,Hindi,44,2022-12-04,2023-06-02,6,-395,1.6,65559,12.9,1.191,0.146,1,5,25.8,0.45,2,0,5.3,0.285,4.5,1,0.57,2,0.677,-0.213,1
T01315,Aradhya Bhat,vdalia@example.com,+913755617660,Pune,Commercial,Tamil,49,2022-02-17,2022-08-16,6,-685,2.4,8598,13.3,1.342,0.064,0,0,0.0,1.0,3,1,3.7,0.876,8.9,0,1.0,5,1.0,0.887,0
T01316,Oorja Kadakia,krishbajaj@example.com,2832064839,Pune,Apartment,Tamil,32,2023-04-25,2025-04-14,24,287,1.2,18021,6.9,0.925,0.025,4,1,9.4,0.6,1,1,4.3,0.484,5.2,2,0.667,8,0.93,0.225,0
T01317,Aniruddh Master,regehunar@example.com,2088637536,Chennai,Villa,Hindi,23,2022-10-05,2023-04-03,6,-455,1.7,16285,1.8,1.046,0.155,5,9,19.6,0.0,4,2,6.5,0.302,5.1,3,0.426,1,0.535,-0.09,1
T01318,Sara Shenoy,ysachar@example.net,+914673741534,Hyderabad,Villa,Hindi,60,2023-03-24,2024-03-18,12,-105,1.3,39381,7.3,0.835,0.152,1,1,21.0,0.812,5,1,8.2,0.521,6.7,3,0.564,2,0.672,-0.053,0
T01319,Dhruv Sandhu,aarnajani@example.org,+916953189042,Kolkata,2BHK,Hindi,55,2022-10-25,2023-10-20,12,-255,1.7,12599,2.2,1.05,0.078,5,0,7.8,0.762,1,0,8.1,1.0,7.9,1,0.914,13,1.0,0.817,0
T01320,Vardaniya Kota,alisha63@example.com,1041784287,Kolkata,Villa,English,49,2023-01-09,2024-01-04,12,-179,1.5,58349,10.4,0.775,0.168,0,0,0.0,1.0,1,0,3.4,0.831,10.0,0,0.856,6,0.879,1.0,0
T01321,Mohanlal Mander,surisamaira@example.org,+910186037881,Delhi,Villa,English,42,2021-08-27,2022-02-23,6,-859,2.8,47878,9.5,0.718,0.199,5,7,22.6,0.457,4,1,14.3,0.669,6.7,3,0.882,4,0.45,-0.026,1
T01322,Riya Devan,kumarumang@example.net,6755936541,Kolkata,Apartment,Kannada,58,2021-01-04,2021-12-30,12,-914,3.5,62562,7.1,0.926,0.153,3,15,28.9,0.233,2,1,10.7,0.565,6.7,2,0.492,1,0.601,-0.036,1
T01323,Vritika Kashyap,kiaraghosh@example.com,2616912983,Delhi,Commercial,Tamil,54,2021-01-11,2022-01-06,12,-907,3.5,75491,1.3,1.248,0.18,7,19,23.2,0.0,1,0,11.1,0.426,5.5,3,0.37,0,0.863,-0.403,1
T01324,Trisha Biswas,parinaazdugar@example.com,05732746332,Chennai,Villa,English,30,2021-01-23,2022-01-18,12,-895,3.4,67070,2.0,1.1,0.1,7,11,21.1,0.31,3,1,10.3,0.0,3.6,5,0.548,1,0.415,-0.776,1
T01325,Adira Hayer,keyalala@example.org,06391272215,Mumbai,2BHK,Telugu,52,2022-09-18,2024-09-07,24,68,1.8,78117,3.8,0.898,0.135,0,0,0.0,1.0,0,0,7.0,1.0,8.6,0,1.0,11,0.844,1.0,0
T01326,Ira Ratta,shankerrania@example.com,4839615505,Delhi,Commercial,Tamil,49,2021-08-09,2022-08-04,12,-697,2.9,67144,9.1,1.046,0.057,4,13,21.4,0.167,5,1,9.5,0.183,3.5,0,0.654,4,0.63,0.239,1
T01327,Mahika Vohra,ochokshi@example.net,+917868521965,Bangalore,Studio,Hindi,43,2021-10-13,2022-10-08,12,-632,2.7,30178,14.4,0.968,0.028,2,10,28.1,0.353,6,3,16.1,0.61,6.5,2,0.833,3,0.787,0.655,1
T01328,Shayak Edwin,buchprisha@example.org,7149560675,Hyderabad,Villa,Telugu,47,2021-05-25,2021-11-21,6,-953,3.1,70126,8.4,0.796,0.032,4,0,9.2,0.895,0,0,13.0,0.891,9.7,0,0.864,7,1.0,0.798,0
T01329,Ela Ghose,vbajwa@example.com,+919749563604,Delhi,3BHK,Kannada,54,2021-02-17,2022-02-12,12,-870,3.4,45443,3.4,1.04,0.027,3,0,10.3,0.929,5,2,7.3,0.516,7.9,2,0.875,7,0.967,0.468,1
T01330,Misha Manda,uray@example.org,02809760786,Hyderabad,2BHK,Tamil,40,2022-05-01,2022-10-28,6,-612,2.2,43840,11.3,1.203,0.123,6,0,6.7,0.778,2,1,13.2,0.391,5.7,2,0.831,11,1.0,0.692,0
T01331,Ryan Brahmbhatt,rameshvivaan@example.net,+911999472796,Pune,Villa,Hindi,29,2021-05-27,2022-05-22,12,-771,3.1,26647,4.9,0.78,0.175,6,20,22.0,0.0,1,1,13.7,0.063,3.0,6,0.681,0,0.197,-1.0,1
T01332,Ishaan Borde,khannasaksham@example.org,2770120586,Bangalore,3BHK,Telugu,24,2023-01-31,2025-01-20,24,203,1.4,54136,13.4,1.009,0.168,3,0,4.0,0.833,1,1,12.8,0.685,8.9,0,0.864,4,0.801,0.19,0
T01333,Alia Dada,lakshit35@example.org,+913345647734,Pune,Studio,English,27,2022-11-09,2024-10-29,24,120,1.6,25340,8.4,0.769,0.05,6,0,10.7,0.714,1,0,13.7,0.86,7.8,0,0.693,8,1.0,0.506,0
T01334,Tarini Thaker,samihashenoy@example.com,02624182102,Chennai,Studio,Hindi,59,2021-03-24,2021-09-20,6,-1015,3.3,76876,0.6,0.709,0.115,11,15,20.3,0.0,4,2,11.8,0.162,5.6,1,0.612,3,0.637,-0.238,1
T01335,Bhavin Kumer,gokul28@example.com,+911857089894,Kolkata,Villa,Kannada,27,2022-06-29,2023-06-24,12,-373,2.0,32873,1.5,0.953,0.038,4,11,22.5,0.0,6,0,11.8,0.491,5.4,6,0.632,3,0.553,0.302,1
T01336,Vedika Sandal,yuvraj-02@example.net,6046775235,Kolkata,Commercial,Kannada,52,2022-09-06,2023-09-01,12,-304,1.8,47646,0.2,1.361,0.166,1,9,26.5,0.174,4,2,8.6,0.0,5.2,4,0.443,1,0.672,-0.125,1
T01337,Gatik Sekhon,shaan62@example.com,02146352752,Kolkata,3BHK,English,59,2023-04-20,2023-10-17,6,-258,1.2,56816,5.8,1.215,0.187,4,0,8.2,0.733,0,0,3.0,0.767,7.5,2,0.897,7,0.622,0.702,0
T01338,Veer Malhotra,davejiya@example.com,+917401383557,Bangalore,2BHK,Hindi,55,2022-11-05,2023-10-31,12,-244,1.7,79466,1.8,1.145,0.192,3,9,22.7,0.0,4,1,15.9,0.244,4.6,2,0.551,0,0.528,-0.454,1
T01339,Keya Soni,sethiyashvi@example.com,04311714724,Bangalore,3BHK,Telugu,50,2021-01-06,2022-01-01,12,-912,3.5,52232,13.8,0.957,0.142,6,0,9.7,0.86,1,1,10.7,0.707,9.3,0,0.957,10,0.741,0.691,0
T01340,Aaryahi Srinivas,kadevidur@example.com,0979083286,Kolkata,3BHK,Telugu,61,2021-06-13,2022-06-08,12,-754,3.1,46983,8.5,0.712,0.025,6,10,19.4,0.316,5,0,6.3,0.417,6.1,1,0.791,2,0.877,-0.156,1
T01341,Sara Sarraf,pari89@example.org,4095007343,Mumbai,Studio,Kannada,56,2021-04-02,2022-03-28,12,-826,3.2,40260,12.0,1.237,0.021,2,0,7.0,0.95,1,1,3.3,0.756,9.0,0,0.993,7,0.78,0.6,0
T01342,Miraya Chokshi,mehulbuch@example.com,0235796490,Hyderabad,Studio,Telugu,47,2022-02-21,2024-02-11,24,-141,2.4,52631,3.5,0.745,0.124,6,1,8.3,0.724,0,0,14.4,0.632,7.4,2,0.811,6,0.723,0.721,1
T01343,Shlok Gill,swamyraghav@example.org,5035622538,Delhi,Commercial,Telugu,27,2021-07-12,2022-07-07,12,-725,3.0,16850,6.1,1.11,0.069,6,7,21.5,0.459,0,0,13.7,0.421,6.8,1,0.629,5,0.84,0.416,1
T01344,Inaaya  Bains,jmangat@example.com,+919442715309,Bangalore,Commercial,Hindi,61,2022-10-13,2024-10-02,24,93,1.7,22863,14.9,1.042,0.13,3,6,26.7,0.286,6,1,17.2,0.0,2.5,2,0.484,2,0.718,-0.437,1
T01345,Adira Sant,cheriankanav@example.org,+910869872407,Kolkata,Villa,Tamil,29,2021-02-03,2021-08-02,6,-1064,3.4,10475,11.8,1.368,0.045,7,9,20.6,0.405,7,1,12.2,0.227,4.4,1,0.557,1,0.531,-0.353,1
T01346,Shalv Shenoy,charvi43@example.net,+919209242487,Mumbai,Commercial,Hindi,55,2021-05-18,2021-11-14,6,-960,3.1,13331,7.7,1.16,0.061,7,0,8.6,0.821,0,0,5.0,0.914,8.1,1,0.839,9,0.771,0.615,0
T01347,Inaaya  Majumdar,vanya70@example.com,+919237554973,Chennai,3BHK,Hindi,36,2022-12-29,2023-06-27,6,-370,1.5,12670,0.8,1.227,0.116,4,5,18.9,0.263,7,5,15.8,0.255,5.1,2,0.7,3,0.466,-0.346,1
T01348,Nirvi Bhatnagar,aaryahisangha@example.net,9392452268,Pune,Villa,Tamil,31,2022-10-15,2024-10-04,24,95,1.7,79318,5.6,0.896,0.181,2,10,27.5,0.0,2,0,16.7,0.185,4.4,1,0.638,0,0.539,-0.155,1
T01349,Vihaan Cherian,ssidhu@example.com,+910037094497,Bangalore,Villa,English,48,2023-03-29,2023-09-25,6,-280,1.3,72631,1.7,0.959,0.052,0,0,0.0,1.0,0,0,7.8,1.0,8.7,0,1.0,6,0.861,1.0,0
T01350,Eshani Thakur,ravikismat@example.com,09297496758,Delhi,Commercial,Tamil,59,2021-10-30,2023-10-20,24,-255,2.7,26977,9.9,1.15,0.146,1,0,6.0,0.97,0,0,5.2,0.954,7.2,0,1.0,6,1.0,0.859,0
T01351,Anahita Randhawa,tarini44@example.org,04624397788,Mumbai,3BHK,Hindi,59,2022-10-27,2023-10-22,12,-253,1.7,30323,0.9,1.113,0.05,3,4,15.9,0.476,5,1,15.7,0.378,5.3,0,0.526,2,0.724,0.04,1
T01352,Vaibhav Devi,riya61@example.com,01888484164,Mumbai,Commercial,Kannada,45,2022-11-20,2024-11-09,24,131,1.6,70356,12.4,1.197,0.189,5,0,9.6,0.75,1,0,14.8,0.614,8.1,0,0.718,4,0.716,0.789,0
T01353,Jayan Sridhar,alia94@example.org,+916405206616,Mumbai,Studio,Kannada,33,2022-05-22,2024-05-11,24,-51,2.1,63937,6.8,0.707,0.14,1,5,23.8,0.577,2,0,10.2,0.271,5.8,3,0.53,3,0.609,-0.47,1
T01354,Ojas Ranganathan,kalajivika@example.org,08359567366,Hyderabad,2BHK,Telugu,32,2023-04-19,2024-04-13,12,-79,1.2,30508,14.7,0.775,0.047,0,7,30.1,0.067,2,0,11.8,0.22,5.8,2,0.778,3,1.0,-0.339,1
T01355,Miraya Bhatia,pjani@example.com,1977093147,Delhi,Apartment,Tamil,65,2021-09-10,2023-08-31,24,-305,2.8,48449,2.0,1.123,0.025,4,15,25.0,0.029,6,3,11.7,0.059,3.7,0,0.428,0,0.441,-0.493,1
T01356,Saanvi Toor,ishaan13@example.net,+915995077679,Delhi,Studio,Telugu,37,2021-09-17,2022-09-12,12,-658,2.8,77855,11.7,1.351,0.168,1,8,21.9,0.5,4,1,15.6,0.343,5.6,1,0.773,6,0.622,0.123,1
T01357,Tiya Sangha,mannamani@example.net,+919893228629,Bangalore,Commercial,English,53,2021-04-22,2023-04-12,24,-446,3.2,71338,1.0,0.821,0.088,4,14,25.8,0.179,2,2,10.5,0.395,4.4,4,0.727,3,0.592,-0.167,1
T01358,Lavanya Varghese,swamymadhav@example.net,08573756995,Bangalore,Villa,Kannada,53,2022-07-13,2023-01-09,6,-539,2.0,55655,4.9,1.079,0.186,6,1,13.0,0.667,5,1,9.9,0.633,6.8,3,0.597,10,0.662,0.219,0
T01359,Jivin Bose,madanmohanlal@example.net,07941665007,Bangalore,Apartment,Telugu,54,2021-05-12,2021-11-08,6,-966,3.1,24600,3.2,1.044,0.149,8,8,20.3,0.385,2,0,9.2,0.433,5.1,3,0.558,4,0.596,-0.32,1
T01360,Charvi Dass,arnav07@example.com,07271424261,Mumbai,3BHK,Telugu,50,2022-03-08,2023-03-03,12,-486,2.3,62409,9.0,0.736,0.138,3,10,25.8,0.207,4,2,9.0,0.121,6.5,4,0.79,2,0.505,-0.198,1
T01361,Madhup Chadha,daratiya@example.net,06049072604,Hyderabad,Apartment,Telugu,62,2021-01-15,2022-01-10,12,-903,3.5,15673,10.5,1.285,0.077,3,10,25.0,0.465,2,0,12.9,0.147,3.7,1,0.725,1,0.628,0.048,1
T01362,Shaan Bedi,ckaur@example.com,04371204056,Delhi,3BHK,Hindi,41,2021-01-18,2022-01-13,12,-900,3.5,62365,1.2,1.108,0.167,8,6,18.8,0.535,3,2,9.5,0.041,7.0,1,0.887,3,0.712,-0.29,1
T01363,Yakshit Bakshi,fbail@example.org,3522856983,Bangalore,2BHK,Tamil,33,2022-04-21,2023-04-16,12,-442,2.2,19822,8.7,0.934,0.191,2,1,15.0,0.852,3,1,4.0,0.715,8.8,0,0.912,3,1.0,0.349,0
T01364,Renee Atwal,auroraraghav@example.org,02810803583,Kolkata,3BHK,Telugu,33,2021-05-03,2021-10-30,6,-975,3.2,62328,5.8,1.395,0.176,5,19,25.6,0.0,3,1,18.5,0.097,3.0,4,0.257,0,0.628,-1.0,1
T01365,Krish Ram,drishyabhavsar@example.com,+910245864871,Chennai,Apartment,Tamil,35,2023-04-15,2025-04-04,24,277,1.2,24727,11.4,0.727,0.03,2,2,19.0,0.6,5,2,7.7,0.548,6.0,3,0.583,3,0.917,-0.184,1
T01366,Hrishita Gopal,abram66@example.net,7436433502,Hyderabad,Villa,Kannada,27,2021-07-17,2022-01-13,6,-900,3.0,12263,12.7,1.193,0.031,2,1,17.3,0.892,2,1,11.4,0.808,7.2,0,0.818,5,0.581,0.798,1
T01367,Yashvi Comar,raniababu@example.net,07338626180,Hyderabad,2BHK,Kannada,43,2021-12-12,2022-12-07,12,-572,2.6,8901,9.3,1.363,0.021,6,0,8.8,0.812,1,0,2.5,0.778,7.9,1,0.573,4,0.837,0.135,0
T01368,Oorja Joshi,mkuruvilla@example.net,+915617729490,Mumbai,Studio,Kannada,43,2022-03-21,2023-03-16,12,-473,2.3,45195,6.0,0.844,0.188,2,3,24.8,0.714,4,1,8.5,0.121,3.9,2,0.616,0,0.657,-0.283,1
T01369,Pihu Issac,siyazachariah@example.org,1089410988,Pune,Apartment,Hindi,30,2021-08-27,2022-08-22,12,-679,2.8,16365,10.4,1.301,0.186,2,9,21.5,0.429,3,1,8.0,0.378,5.7,0,0.648,4,0.732,-0.001,1
T01370,Uthkarsh Iyengar,heerbhargava@example.com,+910647927045,Chennai,Commercial,English,52,2021-09-01,2022-08-27,12,-674,2.8,72918,5.1,1.003,0.053,5,6,16.5,0.514,4,2,8.3,0.533,5.7,1,0.773,2,0.581,-0.048,1
T01371,Fateh Krish,sahilahluwalia@example.net,+911986790524,Kolkata,Studio,English,61,2022-08-05,2023-02-01,6,-516,1.9,73453,13.6,1.214,0.118,3,0,7.0,0.875,0,0,11.8,0.661,5.8,3,0.808,5,0.627,0.239,0
T01372,Raghav Roy,xmangal@example.org,7671895721,Chennai,Commercial,Telugu,40,2022-01-12,2024-01-02,24,-181,2.5,42634,6.6,0.966,0.119,4,0,8.2,0.871,0,0,7.9,0.873,7.9,1,0.791,6,1.0,0.998,0
T01373,Riya Rau,sumer33@example.org,+911463593726,Delhi,2BHK,Telugu,30,2021-12-19,2022-06-17,6,-745,2.5,45559,6.4,1.325,0.183,6,0,9.7,0.806,1,1,11.8,1.0,7.3,2,1.0,6,1.0,0.658,0
T01374,Ivana Srinivas,vorakanav@example.org,+916023959059,Chennai,Commercial,Tamil,65,2021-05-23,2022-05-18,12,-775,3.1,67715,8.5,0.918,0.187,4,7,20.0,0.526,3,0,11.3,0.336,7.0,1,0.852,3,0.648,0.305,0
T01375,Charvi Dass,hsaran@example.org,01740820653,Chennai,2BHK,Kannada,57,2022-07-31,2023-01-27,6,-521,1.9,47399,2.4,0.802,0.043,3,4,19.6,0.542,1,0,15.6,0.268,6.2,3,0.764,1,0.582,-0.353,1
T01376,Nakul Krishnan,piya94@example.org,+918229340145,Hyderabad,2BHK,Telugu,54,2021-03-06,2022-03-01,12,-853,3.3,74199,14.0,0.905,0.123,3,9,26.4,0.488,2,1,8.1,0.505,6.8,3,0.747,1,0.52,-0.053,1
T01377,Shaan Shah,aarav21@example.com,00426824915,Hyderabad,Studio,Kannada,22,2021-05-05,2023-04-25,24,-433,3.2,57685,11.0,1.0,0.196,7,16,24.9,0.0,4,0,4.3,0.377,4.7,3,0.625,2,0.707,0.05,1
T01378,Ishaan Dara,johalanaya@example.org,+913948202186,Hyderabad,Commercial,Tamil,37,2022-05-31,2024-05-20,24,-42,2.1,76242,12.0,1.084,0.09,1,0,12.0,0.962,0,0,8.5,1.0,9.2,0,1.0,7,1.0,0.982,0
T01379,Azad Keer,anvigaba@example.com,3366059727,Bangalore,Apartment,Telugu,57,2022-01-22,2023-01-17,12,-531,2.4,15970,10.2,1.149,0.176,1,0,9.0,0.967,1,0,8.5,0.761,8.4,1,0.683,9,0.998,0.605,0
T01380,Faiyaz Vyas,gatik16@example.net,2073197304,Delhi,Apartment,English,53,2023-01-13,2025-01-02,24,185,1.5,33637,9.4,0.746,0.136,3,0,2.0,0.833,1,0,2.3,0.547,8.5,0,0.866,7,0.622,0.527,0
T01381,Devansh Jhaveri,ndar@example.net,7969243654,Hyderabad,2BHK,English,31,2021-06-01,2023-05-22,24,-406,3.1,60786,2.7,0.778,0.069,6,12,18.9,0.211,3,0,13.5,0.21,3.0,2,0.38,1,0.57,-0.25,1
T01382,Prerak Jaggi,uarora@example.net,+914514057734,Kolkata,Apartment,Telugu,31,2021-12-13,2022-12-08,12,-571,2.6,70619,11.3,1.288,0.148,6,4,17.3,0.562,2,0,14.8,0.48,6.2,3,0.512,4,0.718,0.022,1
